"";"colours_for_plots";"variable"
"1";"#76D1EB";"F[h,R]"
"2";"#B6ECE3";"WB[h,R]"
"3";"#48EA93";"r[h,R]"
"4";"#4BC1BB";"STr,ob[h,R]"
"5";"#C27089";"STr,oc[h,R]"
"6";"#5396E0";"PEN[h,R]"
"7";"#E69DDC";"CapTr[h,R]"
"8";"#E99B4B";"C[h,P]"
"9";"#7268ED";"I[h,P]"
"10";"#558580";"r[h,P]"
"11";"#ED448C";"T,c[h,P]"
"12";"#BA76EE";"STr,c[h,P]"
"13";"#835B56";"STr,oc[h,P]"
"14";"#DE856A";"CapTr[h,P]"
"15";"#5C85AA";"DispNP[h,P]"
"16";"#B199E5";"T[g,R]"
"17";"#96ED98";"T,p[g,R]"
"18";"#6C21A2";"F[g,R]"
"19";"#ACF1B8";"r[g,R]"
"20";"#B6D8ED";"T,c[g,R]"
"21";"#9EED2F";"STr,c[g,R]"
"22";"#E1DDED";"CapTr[g,R]"
"23";"#EFDFD6";"STr,oc[g,R]"
"24";"#E375A9";"G[g,P]"
"25";"#AFA6CD";"I[g,P]"
"26";"#E32E48";"Sub,p[g,P]"
"27";"#E5EC88";"Sub,op[g,P]"
"28";"#6146DC";"r[g,P]"
"29";"#93E761";"STr,ob[g,P]"
"30";"#B8D597";"STr,oc[g,P]"
"31";"#8DF1E4";"CapTr[g,P]"
"32";"#838FEF";"DispNP[g,P]"
"33";"#61F441";"F[f,R]"
"34";"#9AB6EC";"r[f,R]"
"35";"#DEEBCB";"STr,c[f,R]"
"36";"#BD50DF";"STr,oc[f,R]"
"37";"#8970D6";"CapTr[f,R]"
"38";"#DBD145";"I[f,P]"
"39";"#DFF3EE";"r[f,P]"
"40";"#A97B3E";"T,c[f,P]"
"41";"#46F4EC";"STr,ob[f,P]"
"42";"#A4A7B5";"STr,oc[f,P]"
"43";"#C2C4B0";"PEN[f,P]"
"44";"#E937D5";"CapTr[f,P]"
"45";"#E7A794";"DispNP[f,P]"
"46";"#5FC89F";"EX[row,P]"
"47";"#92B59B";"Sub,p[s1,R]"
"48";"#9631ED";"Sub,op[s1,R]"
"49";"#51B9ED";"r[nf,R]"
"50";"#73E1EB";"STr,oc[nf,R]"
"51";"#DEEE2F";"CapTr[nf,R]"
"52";"#52BC6F";"I[s1,P]"
"53";"#E6B2DB";"F[nf,R]"
"54";"#E79FB4";"IM[row,R]"
"55";"#F277CF";"T[s1,P]"
"56";"#69ECAE";"F[s1,P]"
"57";"#4AE46B";"WB[s1,P]"
"58";"#DACCF1";"r[nf,P]"
"59";"#E93EB4";"T,c[nf,P]"
"60";"#EFE9A6";"STr,oc[nf,P]"
"61";"#A468B8";"CapTr[nf,P]"
"62";"#B8E9C7";"I[nf,P]"
"63";"#EA6DE4";"DispNP[nf,P]"
"64";"#3183EF";"T[row,R]"
"65";"#D2EF62";"WB[row,R]"
"66";"#8F3A72";"r[row,R]"
"67";"#99B733";"T,c[row,R]"
"68";"#ECC030";"STr,c[row,R]"
"69";"#AFE480";"STr,ob[row,R]"
"70";"#96769C";"STr,oc[row,R]"
"71";"#909B4F";"CapTr[row,R]"
"72";"#EBC1CC";"Sub,p[row,P]"
"73";"#EDD1AB";"Sub,op[row,P]"
"74";"#DAC060";"WB[row,P]"
"75";"#DE95F2";"r[row,P]"
"76";"#DCB576";"T,c[row,P]"
"77";"#7273B6";"STr,c[row,P]"
"78";"#E92FF4";"STr,ob[row,P]"
"79";"#503A84";"STr,oc[row,P]"
"80";"#E9655A";"CapTr[row,P]"
"81";"#5EAAB7";"DispNP[row,P]"
"82";"#044001";"Dwellings (net)"
"83";"#CFB0ED";"Other buildings and structures (net)"
"84";"#B756B6";"Machinery and equipment and weapons systems (net)"
"85";"#57EAC8";"Cultivated biological resources (net)"
"86";"#66A06D";"Intellectual property products (net)"
