"";"NFC";"FC";"Govt";"HH";"RoW"
"1";6968,908203;-4096;-4906;-1540,829956;3611
"2";-1374,342041;-1698;-2286;-7120,910156;12539
"3";-1352,921021;421;-2703;-6762,089844;10393
"4";-2103,865967;865;-3289;-2409,879883;6972
"5";105,5692978;-2378;-8219;-3389,610107;13948
"6";-4994,666992;3667;-14401;5832,75;9946
"7";6097;4364;-30051;12010;7580
"8";4779;5070;-47953;22197;15907
"9";10768;12062;-42953;10003;10120
"10";8503;9421;-27208;-4280;13564
"11";5620;14580;-17041;-26208;23049
"12";-21630;8535;14918;-33546;31723
"13";-16587;20354;11163;-29606;14676
"14";-4051;14203;1733;-13723;1838
"15";-18543;28240;-5482;-5320;1105
"16";4948,106934;23000;-13158;-1963,109985;-12827
"17";24696,98047;15708;-26098;1031,02002;-15338
"18";19994,5;16215;-23733;13865,5;-26342
"19";41280,5;19135;-34097;9291,5;-35610
"20";37431,78125;32211;-35788;-10260,78027;-23594
"21";26371;28510;-37521;-9647;-7712
"22";45513;21483;-27011;-25931;-14053
"23";45560;22991;-13755;-46646;-8150
"24";20012;16306;-4609;-39660;7950
"25";66711;12371;10787;-54335;-35535
"26";68701;-6306;25044;-65073;-22366
"27";28243;27814;15642;-27388;-44311
"28";81716;-24317;-217;-13664;-43518
"29";88682;-20532;-1913;-15299;-50939
"30";61815;2836;31222;-48107;-47767
"31";53886;20139;78587;-83903;-68708
"32";33850;23099;83896;-84864;-55981
"33";-16501;51457;87298;-96829;-25425
"34";-1374;76677;57177;-79501;-52979
"35";26698;92813;-48188;-11923;-59401
"36";60120;102665;-49080;5612;-119317
"37";82935;95384;-37967;-12957;-127396
"38";95490;79332;-66144;10809;-119488
"39";86412;73095;-23844;13469;-149132
"40";116169;61932;22673;-28102;-172671
"41";114436;54487;-29819;32425;-171529
"42";91768;39874;-8445;28194;-151392
"43";52568;64862;21460;29153;-168043
