"";"GDP";"C";"I";"Tx";"G";"X";"M";"NT";"NIA";"t_rate";"mpc";"S_rate";"mpm";"i_rate";"AFR";"AExR"
"1995";1036483;523965;184989;479402;278718;379477;330665;-238206;41097;0,462527605373171;0,940554425658028;0,0594455743419718;0,319025975341612;0,178477601658686;87588,2856058172;1318306,4468329
"1996";1088024;545833;185190;505592;295380;403302;341682;-237225;47568;0,464688278935024;0,93716176308994;0,0628382369100599;0,314039028550841;0,170207642478475;125148,411604614;1435713,2681265
"1997";1146129;572395;219232;532101;304563;432811;382871;-241292;41791;0,464259258774536;0,932196903072824;0,0678030969271761;0,334055765101485;0,19128038815875;136283,765599012;1420726,86533584
"1998";1185988;594675;236609;557244;318246;441028;404571;-243606;44406;0,46985635605082;0,945814194648378;0,0541858053516216;0,341125711221361;0,199503704927874;158857,061395008;1423035,50870428
"1999";1241521;605199;225320;583387;336514;488519;414032;-236086;38955;0,469897005366804;0,919568051491034;0,0804319485089663;0,33348771386066;0,181487063046054;213723,430566674;1581689,45384415
"2000";1326912;624499;259983;609818;353386;595084;506040;-231389;66679;0,45957682197463;0,870874669150767;0,129125330849233;0,381366661843438;0,19593085298799;265455,07555369;1735240,82257529
"2001";1371526;640633;258124;617879;374837;624792;526859;-227398;53622;0,4505047662239;0,850043853422093;0,149956146577907;0,38414073083558;0,188202046479615;327275,116833555;1766055,88926829
"2002";1410271;661924;262355;635909;389362;644557;547925;-246764;53114;0,450912626013015;0,854799176612489;0,145200823387511;0,388524616899872;0,186031620872868;316243,085186717;1795693,16757038
"2003";1436751;678795;262806;650426;397522;629849;532220;-254817;46691;0,452706140451616;0,863249928464693;0,136750071535307;0,370433011704881;0,182916872861059;315226,561445883;1826349,10664763
"2004";1506001;718749;284099;693322;418077;661563;576487;-244024;37310;0,460372868278308;0,884419309469052;0,115580690530948;0,382793238517106;0,188644629054031;378069,63006078;1825719,29093457
"2005";1585984;757948;309532;756045;431204;752583;665283;-246254;18594;0,476704052499899;0,913257480369039;0,0867425196309608;0,419476489044026;0,195167164359792;387976,563299804;1838427,23046884
"2006";1682260;797472;359266;775950;456660;853411;784550;-235394;12882;0,461254502871138;0,879910847281835;0,120089152718165;0,466366673403636;0,213561518433536;479704,802061989;1857536,24648525
"2007";1738845;825725;386692;801149;476050;895202;844823;-237801;24955;0,460736293344145;0,880589231478006;0,119410768521994;0,485852965617982;0,22238439883946;517104,911077715;1893900,14081648
"2008";1801470;853746;378038;799211;506214;975961;912488;-235821;10494;0,443643802006139;0,85182173470131;0,14817826529869;0,506524116416038;0,209849733828485;609482,198956221;1947498,58502249
"2009";1722143;834887;274809;769685;535001;811578;734132;-282873;18044;0,44693442995152;0,876560436260706;0,123439563739294;0,42628980287932;0,159573856526432;564127,494109928;1946145,54323473
"2010";1810926;862222;267752;809948;555167;914933;789148;-303861;6469;0,447256265579046;0,861379570779777;0,138620429220223;0,435770429051215;0,147853639519229;561883,688034294;2114420,66412384
"2011";1846854;884899;291890;825791;551967;993979;875882;-311792;-9299;0,447133882808278;0,866644859327975;0,133355140672025;0,474256221661268;0,158047143953989;537143,368539982;2076261,63880523
"2012";1895002;910399;297081;862054;573443;1035249;921170;-354758;-5410;0,454909282417644;0,881359952291887;0,118640047708113;0,48610502785749;0,156770810795978;480722,219686934;2118552,45468046
"2013";1929677;920344;309280;899857;572550;1058019;930516;-351152;-21628;0,466325193283643;0,893694043619273;0,106305956380727;0,482213344513097;0,160275527976962;474771,689775153;2149237,49372069
"2014";1981165;934336;321586;978569;587306;1081976;944040;-368590;-34732;0,493936143632661;0,931916744132233;0,0680832558677673;0,476507509470438;0,162321664273294;442802,177608324;2197749,20475827
"2015";2027108;955328;331204;951076;592756;1128604;980783;-388140;-23707;0,469178751206152;0,887824897400821;0,112175102599179;0,483833619126361;0,163387446549468;436115,232145486;2283630,06687106
"2016";2065962;979853;354122;958598;604020;1107027;979060;-363022;-23426;0,463995949586682;0,884851774123053;0,115148225876947;0,4739002943907;0,171407799369011;519396,775369863;2286559,03536249
