"";"NFC";"FC";"Govt";"HH";"RoW"
"1";-541729;-33698;-395543;702280;272221
"2";-610386;-18203;-413195;788739;256697
"3";-544913;-283969;-417371;959156;290428
"4";-367992;-481229;-446468;1008185;291438
"5";-464456;-538725;-380365;1228927;159186
"6";-772161;-372303;-338563;1264666;223043
"7";-771627;-233958;-301195;1083889;227870
"8";-688302;-240169;-296882;999292;231257
"9";-957422;-81028;-264236;1132392;175593
"10";-1185395;18040;-213501;1302793;83154
"11";-1048146;-627009;-150104;1884509;-52308
"12";-1258125;-838619;-18835;2108812;14468
"13";-1484664;-654325;80252;1957618;110202
"14";-1419002;-130049;119841;1336560;102432
"15";-1290759;-441218;101294;1674516;-31573
"16";-1270817;-601378;59179;2033242;-203288
"17";-1092141;-442233;-20699;2044221;-469792
"18";-1530164;-168716;-124569;2493641;-650043
"19";-1744141;-107660;-80055;2638066;-692269
"20";-1878444;-202031;-97531;3021836;-828128
"21";-2254957;-282541;-96813;3314152;-664352
"22";-2005949;-200038;-77911;3401866;-1100476
