"";"NFC";"FC";"Govt";"HH";"RoW"
"1";-6525;2734;1312;-5723;8202
"2";-2141;3161;4419;-10622;5183
"3";-1444;4138;14114;-9428;-7380
"4";-4986;5784;15764;-4363;-12199
"5";-11488;7956;13572;-6492;-3548
"6";-722;-1251;25164;-5177;-18014
"7";-5635;1950;32985;-3346;-25954
"8";-9065;3262;53152;-21128;-26221
"9";-43199;7278;34475;-33229;34675
"10";-39440;17836;27456;-36140;30288
"11";-28643;9676;14865;-23212;27314
"12";-13239;10292;10626;-9347;1668
"13";-9187;7770;16664;1750;-16997
"14";5725;13774;-1172;8696;-27023
"15";7014;15846;-15345;19201;-26716
"16";-5726;14274;-11245;26783;-24087
"17";-86;7935;1143;16272;-25264
"18";-11679;3123;31265;9913;-32622
"19";4337;6125;64098;-4406;-70154
"20";-19118;8267;84004;-4710;-68444
"21";-64141;8865;38574;12243;4460
"22";-23479;9610;75445;6603;-68179
"23";-2569;-4416;227640;858;-221513
"24";54316;-3007;206656;-11248;-246717
"25";10656;7267;141236;31706;-190865
"26";24838;15672;117641;41780;-199931
"27";-12328;21977;194715;15217;-219581
"28";-31894;19894;294637;37694;-320332
"29";18058;1953;399080;-63104;-355987
"30";-91652;33612;402364;-58939;-285386
"31";-94896;33047;486993;-19470;-405674
"32";-38229;36037;250907;9288;-258003
"33";-58568;56976;284895;-2035;-281268
"34";-79705;41973;375221;5447;-342937
"35";-83467;30915;410481;11484;-369413
"36";-54954;44900;331292;-7099;-314139
"37";-27795;52587;275302;29592;-329686
"38";-41249;26857;188927;71027;-245562
"39";-15056;-1580;125770;8256;-117389
