"";"GDP";"C";"I";"Tx";"G";"X";"M";"NT";"NIA";"t_rate";"mpc";"S_rate";"mpm";"i_rate";"AFR";"AExR"
"1978";243888;121875;59337;74752;61794;87758;86876;-11646;9084;0,306501344879617;0,720573975971999;0,279426024028001;0,356212687791117;0,243296103129305;163614,290239726;271865,667111745
"1979";269067;133808;63662;83915;65329;105617;99349;-14167;11451;0,311873994209621;0,722692706533011;0,277307293466989;0,369235171908855;0,236602779233425;164047,022034201;317055,386123665
"1980";318279;149580;74824;107162;74699;136078;116903;-18349;11795;0,336692021779634;0,708517078207819;0,291482921792181;0,367297245498446;0,235089339855913;167363,633097553;402597,628521082
"1981";365013;169515;84235;120097;84970;156159;129866;-19363;14094;0,329021158150532;0,692135262702314;0,307864737297686;0,355784588494108;0,230772602619633;199400,550313497;478528,31602575
"1982";404325;190773;98740;129474;94364;165594;145146;-21538;16900;0,320222593210907;0,694096073872753;0,305903926127247;0,358983491003524;0,244209484944043;227423,053663284;508363,210491505
"1983";449657;210806;99304;143950;104539;185560;150552;-14247;16994;0,320132901300324;0,689568770096857;0,310431229903143;0,334815203588513;0,220843887674383;282045,361889545;604972,527618364
"1984";506486;230672;119414;162532;112112;214042;169754;-17435;18334;0,32090126874188;0,670647819185124;0,329352180814876;0,335160300580865;0,235769596790434;295034,670231093;693327,937698081
"1985";562402;266491;133234;190705;122073;236099;195495;-15480;14383;0,339090188157226;0,716957629467012;0,283042370532988;0,347607227570314;0,236901717988201;314349,998091293;720589,159640912
"1986";581913;299531;166196;180243;135882;195448;215144;-9886;14979;0,309742177954436;0,745714143451092;0,254285856548908;0,369718497438621;0,28560283066369;406777,019623508;569154,644568289
"1987";634875;322145;169241;193494;157515;201650;215676;-8523;16262;0,304774955699941;0,72985697164128;0,27014302835872;0,339714116952156;0,266573734987202;488859,065397377;641457,004951872
"1988";664084;333846;165948;198731;168169;215574;219452;-15697;23436;0,299255817035194;0,717403777347519;0,282596222652481;0,330458195047614;0,249890074147246;509503,88036089;723268,49078614
"1989";708635;348008;157928;210247;178052;264470;239823;-21569;26315;0,296692937831183;0,698267213496312;0,301732786503688;0,338429515900287;0,222862263365484;527424,080747882;859218,792505306
"1990";749860;366541;147764;224999;188693;295591;248729;-19642;29865;0,300054676873016;0,698358231989041;0,301641768010959;0,331700584109034;0,197055450350732;563400,650047334;981174,033425937
"1991";790087;387866;135101;232114;205946;309838;248664;-27340;34151;0,293782836573694;0,695133993938775;0,304866006061225;0,314729896834146;0,17099509294546;607952,466124404;1092965,75717836
"1992";813093;405989;133568;237585;219827;301955;248246;-33103;26993;0,292199047341448;0,705444581135275;0,294555418864725;0,305310708615128;0,164271491698982;639030,146398131;1077420,44650871
"1993";855400;425427;150847;255284;225515;317851;264240;-41014;29524;0,298438157587094;0,70890794446407;0,29109205553593;0,308908113163432;0,176346738368015;618221,883862678;1124525,33681502
"1994";897243;444158;167106;276026;232628;335006;281655;-42255;28087;0,307637953152045;0,714980433568302;0,285019566431698;0,313911615916758;0,186243860358899;618821,566225645;1156672,71164723
"1995";963124;470912;190862;302390;243179;358120;299949;-28455;25549;0,313967879525378;0,712710409938039;0,287289590061961;0,311433418749818;0,19816970608146;683904,354561989;1231945,50392233
