"";"NFC";"FC";"Govt";"HH";"RoW"
"1";-751702;56052;380614;267075;47961
"2";-838469;43739;465850;309803;19077
"3";-993399;30583;594633;378354;-10171
"4";-977659;-1199;669181;380071;-70394
"5";-1170732;56176;772401;461370;-119215
"6";-1314869;16256;1066934;488005;-256326
"7";-1454866;26538;1364880;457913;-394465
"8";-1337594;15928;1275166;442687;-396187
"9";-1397580;17268;1560065;492775;-672528
"10";-1638023;-11249;1860668;546102;-757498
"11";-2005793;-2988;2431808;651732;-1074759
"12";-2539664;38909;2996884;730403;-1226532
"13";-2926923;28285;3284168;767342;-1152872
"14";-2598618;165584;3235075;637108;-1439149
"15";-2727315;75654;3751647;754851;-1854837
"16";-2876721;70194;4249754;776771;-2219998
"17";-2939989;206992;4469603;733697;-2470303
"18";-3197940;147505;5010468;793222;-2753255
"19";-3482259;124462;6373720;882764;-3898687
"20";-3713955;182358;7826403;986476;-5281282
"21";-3998570;203202;8875943;1075103;-6155678
"22";-4036451;205020;9015869;1144205;-6328643
