"";"NO_gdp_Long_ts"
"1";243888
"2";269067
"3";318279
"4";365013
"5";404325
"6";449657
"7";506486
"8";562402
"9";581913
"10";634875
"11";664084
"12";708635
"13";749860
"14";790087
"15";813093
"16";855400
"17";897243
"18";963124
"19";1054657
"20";1141324
"21";1163192
"22";1265701
"23";1507885
"24";1564585
"25";1560181
"26";1619613
"27";1781981
"28";1988942
"29";2215312
"30";2351026
"31";2608807
"32";2431198
"33";2593739
"34";2795755
"35";2968258
"36";3075575
"37";3146665
"38";3118116
"39";3117032
