"";"NFC";"FC";"Govt";"HH";"RoW"
"1";-361;915;-915;743;-382
"2";-291;1099;-652;1265;-1421
"3";-2503;1287;-87;1933;-630
"4";-1560;1306;-1051;2037;-732
"5";-2092;1421;-735;1683;-277
"6";-3463;1553;-415;2347;-22
"7";-3199;1692;-111;1942;-324
"8";-3175;1809;-347;2188;-475
"9";-2628;1896;-1017;2015;-266
"10";-1355;2089;-1365;1258;-627
"11";-4835;2320;234;2496;-215
"12";-5343;2458;1545;2432;-1092
"13";-6578;2693;1995;2952;-1062
"14";-6073;2938;929;3191;-985
"15";-7245;3395;986;3997;-1133
"16";-9539;3794;2558;2966;221
"17";-10635;4033;2499;3917;186
"18";-8893;4727;1846;2810;-490
"19";-9587;5163;1512;3066;-154
"20";-10567;5723;1636;2800;408
"21";-12713;5866;3597;2797;453
"22";-13786;6217;5732;4743;-2906
"23";-7860;6646;4983;-88;-3681
"24";-2919;8213;4198;-1589;-7903
"25";-7218;8779;-2367;153;653
"26";-14238;9514;3397;1062;265
"27";-28538;12606;10771;-1606;6767
"28";-28380;13680;1347;3538;9815
"29";-9632;10409;-5129;2011;2341
"30";-12414;11736;-12216;2891;10003
"31";-9057;14854;-24816;5448;13571
"32";-2808;19639;-23766;213;6722
"33";12457;19337;-38630;-5454;12290
"34";14616;18004;-33067;2923;-2476
"35";21784;16964;-21133;-1866;-15749
"36";7683;16712;-26416;-476;2497
"37";304;18165;3486;-4615;-17340
"38";-17121;11911;42041;-25551;-11280
"39";-29536;30872;47665;-41156;-7845
"40";-53622;29585;47840;-34492;10689
"41";-92212;26090;67357;-25029;23794
"42";-58686;23453;-3947;22135;17045
"43";15755;7730;-124248;64487;36276
"44";74125;12942;-172603;69066;16470
"45";96518;9725;-148730;61188;-18701
"46";81551;43146;-128931;67049;-62815
"47";58081;13202;-55310;45310;-61283
"48";68022;25610;-29520;14824;-78936
"49";49587;16356;21145;6243;-93331
"50";48527;1596;23012;6277;-79412
"51";15591;-20984;84932;28961;-108500
"52";-97243;92517;45790;83457;-124521
"53";63960;22891;-27085;78393;-138159
"54";71992;66589;-23501;63165;-178245
"55";58384;66860;21406;38711;-185361
"56";82483;22878;64603;33746;-203710
"57";49288;63440;81991;53562;-248281
"58";-5726;68176;122843;91225;-276518
"59";-28805;80956;67779;144925;-264855
"60";8161;67884;-18058;152970;-210957
"61";101421;-46045;1693;166198;-223267
"62";-28753;19495;-929;192363;-182176
"63";-80220;56946;-31442;253375;-198659
"64";-60624;20426;-49004;271885;-182683
"65";-93015;15634;-58091;316557;-181085
"66";-94591;2027;9775;266416;-183627
"67";-165725;7148;54271;308441;-204135
