"";"GDP";"C";"I";"Tx";"G";"X";"M";"NT";"NIA";"t_rate";"mpc";"S_rate";"mpm";"i_rate";"AFR";"AExR"
"1950";36093;23012;6702;0;0;7548;7092;0;74;0;0,637575153076774;0,362424846923226;0,196492394647162;0,185686975313773;NA;38790,3054145516
"1951";44396;25656;9873;0;0;11929;10578;0;-70;0;0,57788989999099;0,42211010000901;0,2382647085323;0,222384899540499;NA;49772,3732274532
"1952";48284;28408;10242;0;0;10841;10296;0;-85;0;0,588352249192279;0,411647750807721;0,213238339822716;0,212119956921548;NA;50441,2105672106
"1953";49920;29640;9602;0;0;10144;9455;0;-43;0;0,59375;0,40625;0,189403044871795;0,192347756410256;NA;53330,7160232681
"1954";52992;31342;10869;0;0;11106;10908;0;-79;0;0,591447765700483;0,408552234299517;0,205842391304348;0,20510643115942;NA;53570,1122112211
"1955";56848;33338;12195;0;0;12118;12171;0;-75;0;0,586441035744441;0,413558964255559;0,21409724176752;0,214519420208275;NA;56250,1408265549
"1956";61748;36027;13103;0;0;13784;13575;0;-115;0;0,583452095614433;0,416547904385567;0,21984517717173;0,212201204897325;NA;62175,5736279926
"1957";65875;37966;13754;0;0;15307;14931;0;-99;0;0,576333965844402;0,423666034155598;0,226656546489564;0,208789373814042;NA;67097,1133882526
"1958";69547;40603;14307;0;0;14733;14608;0;-141;0;0,583821013127813;0,416178986872187;0,210045005535825;0,205716997138626;NA;69470,8258488499
"1959";73990;42640;15267;0;0;15319;14798;0;-106;0;0,576294093796459;0,423705906203541;0,2;0,206338694418165;NA;76065
"1960";80384;45043;18651;0;0;17605;17478;0;-88;0;0,560347830414013;0,439652169585987;0,217431329617834;0,232023785828025;NA;80563,3669756265
"1961";87280;48515;20067;0;0;18598;17600;0;-94;0;0,555854720439963;0,444145279560037;0,201649862511457;0,229915215398717;NA;91763,0181818182
"1962";94614;52112;21385;0;0;19774;18824;0;-112;0;0,550785296044983;0,449214703955017;0,19895575707612;0,226023632866172;NA;98825,9917127072
"1963";102388;56047;22494;0;0;21441;20496;0;-40;0;0,547398132593663;0,452601867406337;0,200179708559597;0,219693714107122;NA;106908,93774395
"1964";114124;60372;26786;0;0;24316;23252;0;-69;0;0,529003540009113;0,470996459990887;0,203743296764922;0,234709614103957;NA;119007,596249785
"1965";125643;66363;30078;0;0;26206;26350;0;77;0;0,528187006040925;0,471812993959075;0,209721194177153;0,239392564647454;NA;125323,528235294
"1966";136782;72087;31247;0;0;27946;27892;0;240;0;0,527021099267447;0,472978900732553;0,203915719904666;0,228443801084938;NA;138223,772121038
"1967";148542;77716;32354;0;0;29888;28970;0;428;0;0,523192093818583;0,476807906181417;0,195029015362658;0,217810450916239;NA;155443,537176389
"1968";157554;82333;32327;0;0;32400;31609;0;637;0;0,522570039478528;0,477429960521472;0,200623278368052;0,205180446069284;NA;164671,818089785
"1969";170927;88887;35563;0;0;37282;36641;0;1049;0;0,520029018235855;0,479970981764145;0,214366366928572;0,208059580990715;NA;178810,699407767
"1970";191198;96589;40892;0;0;44196;43737;0;912;0;0,505177878429691;0,494822121570309;0,228752392807456;0,213872530047385;NA;197191,379930036
"1971";206888;104057;40345;0;0;48258;44450;0;902;0;0,502962955802173;0,497037044197827;0,214850547155949;0,19500889370094;NA;228810,21552306
"1972";226497;114425;42881;0;0;52501;47580;0;1240;0;0,505194329284715;0,494805670715285;0,210069007536524;0,189322595884272;NA;255825,457692308
"1973";252263;126357;47359;0;0;66191;57533;0;755;0;0,500893908341691;0,499106091658309;0,228067532694053;0,187736608222371;NA;293535,862861314
"1974";285446;144092;60731;0;0;87873;86956;0;1570;0;0,504796003447237;0,495203996552763;0,304632049494475;0,212758280024943;NA;293609,947306684
"1975";334900;164271;74060;0;0;90184;87791;0;2658;0;0,490507614213198;0,509492385786802;0,262140937593311;0,221140638996715;NA;354168,260983472
"1976";379127;189968;81672;0;0;100172;102727;0;4212;0;0,501066924803562;0,498933075196438;0,270956697887515;0,215421217692224;NA;385242,368296553
"1977";412739;208250;75707;0;0;107948;110696;0;7067;0;0,504556148074207;0,495443851925793;0,26819854678138;0,183425845388975;NA;428842,741246296
"1978";459717;230803;71757;0;0;123999;115499;0;10841;0;0,502054524848983;0,497945475151017;0,251239349425842;0,156089507240324;NA;536699,367786734
"1979";515302;255158;92513;0;0;149694;149502;0;10195;0;0,495162060306383;0,504837939693617;0,290125014069419;0,179531614470738;NA;551103,807828658
"1980";584413;284528;111746;0;0;166093;171458;0;8206;0;0,486861175230531;0,513138824769469;0,293384986302495;0,191210667798286;NA;594096,522104539
"1981";638634;317329;105482;0;0;185365;182048;0;10039;0;0,496887105916691;0,503112894083309;0,285058421568535;0,165168155782498;NA;685487,553480401
"1982";699524;352921;114862;0;0;219649;218044;0;13895;0;0,504515927973879;0,495484072026121;0,311703386874503;0,164200227583328;NA;749250,761571059
"1983";784825;382710;128886;0;0;270521;249828;0;18217;0;0,487637371388526;0,512362628611474;0,318323193068518;0,164222597394324;NA;907059,260170998
