"";"NFC";"FC";"Govt";"HH";"RoW"
"1";-1889024;405260;-477053;1205042;755775
"2";-1979084;179579;-493722;1540733;752494
"3";-2646613;224607;-568046;1941651;1048401
"4";-2758119;25821;-587349;2209932;1109715
"5";-3918101;448439;-355906;2887181;938387
"6";-3651964;119569;-197096;2791822;937669
"7";-3197042;-13078;-97921;2662878;645163
"8";-2610602;-426447;-269411;2651344;655116
"9";-3137780;-375047;-194032;3101346;605513
"10";-3662735;-277093;-141872;3260812;820888
"11";-4619947;-82800;23800;4065025;613922
"12";-5760103;261050;315145;4687957;495951
"13";-5565772;73111;495958;4714012;282691
"14";-4485318;-561637;331294;4197750;517911
"15";-5828916;-649;544450;4865794;419321
"16";-6578556;-47208;635639;5526168;463957
"17";-6245596;-291149;698776;5279906;558063
"18";-6660382;-353675;777154;5721351;515552
"19";-7217495;-369037;778665;6427550;380317
"20";-8044786;-489023;773444;7748264;12101
"21";-9061141;-90629;797955;8428766;-74951
"22";-9590592;-172743;1004580;9035109;-276354
