"";"SE_gdp_Long_ts"
"1";36093
"2";44396
"3";48284
"4";49920
"5";52992
"6";56848
"7";61748
"8";65875
"9";69547
"10";73990
"11";80384
"12";87280
"13";94614
"14";102388
"15";114124
"16";125643
"17";136782
"18";148542
"19";157554
"20";170927
"21";191198
"22";206888
"23";226497
"24";252263
"25";285446
"26";334900
"27";379127
"28";412739
"29";459717
"30";515302
"31";584413
"32";638634
"33";699524
"34";784825
"35";881974
"36";959717
"37";1049286
"38";1135409
"39";1241401
"40";1373535
"41";1514857
"42";1624458
"43";1627077
"44";1634131
"45";1744433
"46";1883562
"47";1932025
"48";2019261
"49";2121037
"50";2237854
"51";2380358
"52";2478130
"53";2569876
"54";2677446
"55";2805115
"56";2907352
"57";3099081
"58";3297053
"59";3387599
"60";3288509
"61";3519994
"62";3656577
"63";3684800
"64";3769909
"65";3936840
"66";4199860
"67";4404802
