Year;SE_price_index
1950;260
1951;304
1952;326
1953;328
1954;330
1955;339
1956;356
1957;372
1958;388
1959;391
1960;407
1961;416
1962;436
1963;449
1964;463
1965;487
1966;519
1967;540
1968;551
1969;566
1970;605
1971;650
1972;689
1973;735
1974;808
1975;887
1976;979
1977;1090
1978;1200
1979;1286
1980;1461
1981;1638
1982;1778
1983;1937
1984;2092
1985;2246
1986;2341
1987;2440
1988;2582
1989;2748
1990;3036
1991;3319
1992;3395
1993;3553
1994;3631
1995;3723
1996;3740
1997;3760
1998;3754
1999;3772
2000;3809
2001;3902
2002;3986
2003;4063
2004;4078
2005;4097
2006;4152
2007;4244
2008;4390
2009;4378
2010;4434
2011;4550
2012;4590
2013;4588
2014;4580
2015;4578
2016;4623
