"";"SE_real_gdp"
"1950";17.4865204097157
"1951";18.3960264226527
"1952";18.6568966927722
"1953";19.1714295743603
"1954";20.2278691900663
"1955";21.1236643248301
"1956";21.8487534066468
"1957";22.3065010906269
"1958";22.5787783822898
"1959";23.8369143232686
"1960";24.8787737002774
"1961";26.4286617446594
"1962";27.3352266921347
"1963";28.7247649983024
"1964";31.0491531603104
"1965";32.4984839699051
"1966";33.1982627098606
"1967";34.6504814118054
"1968";36.0189957715311
"1969";38.0406566144344
"1970";39.809042875106
"1971";40.0936606491593
"1972";41.4092150125737
"1973";43.2334588974775
"1974";44.5006512077932
"1975";47.5603775226533
"1976";48.7815716242663
"1977";47.6982862142389
"1978";48.257307114728
"1979";50.4748021224138
"1980";50.3875703708236
"1981";49.1124844387378
"1982";49.559238914057
"1983";51.0383908703975
"1984";53.1065229816341
"1985";53.825392003838
"1986";56.4606963621487
"1987";58.6160125673463
"1988";60.5633121838727
"1989";62.9617466745732
"1990";62.8526562616019
"1991";61.6531116437099
"1992";60.3701274885775
"1993";57.9355890405425
"1994";60.5176158769168
"1995";63.7295203030016
"1996";65.072112392
"1997";67.6485322134072
"1998";71.1717659400318
"1999";74.7332433784498
"2000";78.7199975138744
"2001";80.0001102991023
"2002";81.2135771153519
"2003";83.0094743587479
"2004";86.6477350122038
"2005";89.3892755624384
"2006";94.0219703589813
"2007";97.8597988672456
"2008";97.2033519450385
"2009";94.618714442849
"2010";100
"2011";101.231831008303
"2012";101.124177124173
"2013";103.504974679806
"2014";108.276959572924
"2015";115.561399023027
"2016";120.020729844786
