na_item;item_new
P3;c
P3;g
P5G;i
P6;ex
P7;im
B1G;gdp
B1GQ;gnp
D2;tt
D21;t
D29;top
D3;sub
D31;sub31
D39;sub39
B2A3G;b2
D1;w
D4;pi
D41;pir
D42;pidi
D43;pire
D44;pioi
D45;pipr
D4N;pio
D5;tc
D61;str_c
D62;str_ob
D7;str_oc
D8;cpen
B6G;yd_g
B6N;yd_n
B8G;s
D9;captr
P5G;i
P51G;i_fc
P52;in_c
P53;ncv
P51C;dep
NP;np
B9;nl
F_TR;fft
F;fft
F1;ffmg
F2;ffmd
F3;ffd
F31;ffd_st
F32;ffd_lt
F4;ffl
F41;ffl_st
F42;ffl_lt
F5;ffeq
F51;ffeq_xmf
F52;ffeq_mf
F6;ffins
F61;ffins_nltr
F66;ffins_pcsg
F61_F66;ffins_nl
F62;ffins_l
F63_F64_F65;ffins_pen
F7;ffdop
F8;ffoa
N11N;fxa
N111N;fxa_d
N112N;fxa_ob
N1121N;fxa_obbo
N1122N;fxa_obos
N11MN;fxa_m
N115N;fxa_cb
N117N;fxa_ip
N1171N;fxa_rd
N1172N;fxa_min
N1173N;fxa_it
N1174N;fxa_ent
N1179N;fxa_ipp
