"";"year";"ifs";"pop";"rgdpmad";"rgdppc";"rconpc";"gdp";"iy";"cpi";"ca";"imports";"exports";"narrowm";"money";"stir";"ltrate";"debtgdp";"revenue";"expenditure";"xrusd";"peg";"peg_strict";"crisisJST";"tloans";"tmort";"thh";"tbus";"hpnom";"peg_type";"peg_base";"eq_tr";"housing_tr";"bond_tr";"bill_rate";"rent_ipolated";"housing_capgain_ipolated";"housing_capgain";"housing_rent_rtn";"housing_rent_yd";"eq_capgain";"eq_dp";"eq_capgain_interp";"eq_tr_interp";"eq_dp_interp";"bond_rate";"eq_div_rtn";"capital_tr";"risky_tr";"safe_tr";"COUNTRY";"geo";"Yd_hh"
"1";1870;193;1775;3273,23943661972;13,8361565577557;21,4497342475673;208,78;0,1092656;2,708333;-6,147594;36;37;23,3;54,3;4,88;4,911817;0,172568;NA;NA;0,366946147065456;1;1;0;54,792;1,68;1,68;53,112;0,492252613624;"PEG";"GBR";-0,00490389531478286;NA;NA;0,0487999990582466;NA;NA;NA;NA;NA;-0,0700454339385033;0,0714170336723328;NA;NA;NA;0,0491181686520576;0,0664145946502686;NA;NA;NA;"Australia";"AU";NA
"2";1871;193;1675;3298,50746268657;13,9368644901559;19,9308012799716;211,56;0,1045791;2,666667;5,260774;34;46;27,2;59,5;4,6;4,844633;0,191799;NA;NA;0,369146449584912;1;1;0;53,748;1,766;1,766;51,982;0,469877494822909;"PEG";"GBR";0,110192969441414;NA;NA;0,046000000089407;NA;NA;-0,045456301420927;NA;NA;0,0416536293923855;0,0654663816094398;NA;NA;NA;0,0484463311731815;0,068193294107914;NA;NA;NA;"Australia";"AU";NA
"3";1872;193;1722;3553,4262485482;15,044246890548;21,0850056626431;227,4;0,130438;2,541667;7,867636;38;53;36,2;68,5;4,6;4,73735;0,15492;NA;NA;0,369238809270165;1;1;0;55,822;1,47;1,47;54,352;0,484794240690303;"PEG";"GBR";0,176749303936958;NA;NA;0,046000000089407;NA;NA;0,0317466072738171;NA;NA;0,108945474028587;0,0629973486065865;NA;NA;NA;0,0473734997212887;0,0698606222867966;NA;NA;NA;"Australia";"AU";NA
"4";1873;193;1769;3823,62916902205;16,2194426725563;23,2549099020655;266,54;0,1249862;2,541667;-11,0478328;49;50;38,6;73,7;4,4;4,671958;0,142692;NA;NA;0,362404775783401;1;1;0;65,38;1,364;1,364;64,016;0,469877494822909;"PEG";"GBR";0,151685819029808;NA;NA;0,0439999997615814;NA;NA;-0,0307697709649801;NA;NA;0,0830864682793617;0,0644841864705086;NA;NA;NA;0,0467195808887482;0,0698419511318207;NA;NA;NA;"Australia";"AU";NA
"5";1874;193;1822;3834,79692645445;16,268227821719;23,4580498734157;287,58;0,1419599;2,666667;-5,5639588;49;54;37,9;79,3;4,5;4,653317;0,194322;NA;NA;0,372223455121351;1;1;0;71,478;1,434;1,434;70,044;0,56683634296097;"PEG";"GBR";0,191481396555901;NA;NA;0,0450000017881393;NA;NA;0,206349745392799;NA;NA;0,119388863444328;0,0635029599070549;NA;NA;NA;0,0465331710875034;0,0710845068097115;NA;NA;NA;"Australia";"AU";NA
"6";1875;193;1874;4138,20704375667;17,5921069732709;25,6695054706143;300,74;0,160564;2,75;-7,9087368;50;52;37,5;88,5;4,6;4,507325;0,233687;NA;NA;0,360925615833115;1;1;0;79,954;1,564;1,564;78,39;0,56683634296097;"PEG";"GBR";0,12440787255764;NA;NA;0,046000000089407;NA;NA;0;NA;NA;0,0570587292313576;0,0636429786682129;NA;NA;NA;0,0450732484459877;0,0672743692994118;NA;NA;NA;"Australia";"AU";NA
"7";1876;193;1929;4007,25764644894;17,0190332916129;24,806160592376;311,26;0,1678778;2,791667;-6,9521128;48;51;38,2;95,8;4,6;4,565908;0,158506;NA;NA;0,372021707991204;1;1;0;86,206;1,86;1,86;84,346;0,522086105358788;"PEG";"GBR";0,118814565241337;NA;NA;0,046000000089407;NA;NA;-0,0789470002055168;NA;NA;0,0541035495698452;0,0602225810289383;NA;NA;NA;0,0456590801477432;0,0634808391332626;NA;NA;NA;"Australia";"AU";NA
"8";1877;193;1995;4036,09022556391;17,1456520086306;25,2170573526071;313,66;0,2099336;2,875;-14,6247988;52;51;40,2;105,7;4,5;4,38885;0,176092;NA;NA;0,399910679848156;1;1;0;101,036;2,42;2,42;98,616;0,522086105358788;"PEG";"GBR";0,136591374874115;NA;NA;0,0450000017881393;NA;NA;0;NA;NA;0,0744419693946838;0,0573054701089859;NA;NA;NA;0,0438885018229485;0,0615714006125927;NA;NA;NA;"Australia";"AU";NA
"9";1878;193;2062;4277,40058195926;18,2052613998842;26,5605512540367;324,3;0,181141;2,833333;-16,3359228;52;50;38,7;106,2;4,8;4,4428;0,172852;NA;NA;0,412572881150766;1;1;0;106,648;2,754;2,754;103,894;0,589211461762061;"PEG";"GBR";-0,0789373591542244;NA;NA;0,0480000004172325;NA;NA;0,128570765256882;NA;NA;-0,132736518979073;0,0644804686307907;NA;NA;NA;0,0444279983639717;0,0559215545654297;NA;NA;NA;"Australia";"AU";NA
"10";1879;193;2127;4204,98354489892;17,8872470043049;26,5189998962605;334,44;0,1615086;2,75;-12,3326728;48;44;37,2;108,3;4,9;4,60335;0,208934;NA;NA;0,415088256629322;1;1;0;102,726;2,9;2,9;99,826;0,604128207629455;"PEG";"GBR";0,124135859310627;NA;NA;0,0489999987185001;NA;NA;0,0253169070929289;NA;NA;0,0600704997777939;0,0604167878627777;NA;NA;NA;0,046033501625061;0,0640460550785065;NA;NA;NA;"Australia";"AU";NA
