Trade Type;Category;Year;One-family houses;Residential properties with 2 or 3 flats;Residential properties with 4 flats and over;Residential and business properties;Business properties;Industrial properties and warehouses;Agricultural properties, total;Weekend cottages;Building sites (unbuilt area not agriculture) total;Owner-occupied flats, not free. Number;Owner-occupied flats, free;Owner-occupied flats, total;Other built-up. Number;Total sale;Residential properties with 2 flats;Residential properties with 3 flats;Residential properties with 4-8 flats;Residential properties with 9 flats and over;Agricultural properties 10-100 hectares;Agricultural properties 2-5 hectares;Agricultural properties 5-10 hectares;Agricultural properties 10-15 hectares;Agricultural properties 15-30 hectares;Agricultural properties 30-60 hectares;Agricultural properties over 60 hectares;Agricultural properties 60-100 hectares;Agricultural properties over 100 hectares;Building sites (unbuilt area not agriculture) under 2000 m2;Building sites (unbuilt area not agriculture) 2000 m2 and over
Ordinary free trade;Number of sales in the price calculation;2003;47309;0;0;1994;1152;707;2407;10594;0;0;15981;15981;0;85590;845;153;408;194;1494;222;663;383;573;397;169;141;28;3251;595
Ordinary free trade;Number of sales in the price calculation;2004;52551;0;0;2063;1155;848;2524;11387;0;0;17921;17921;0;95673;827;184;519;207;1596;186;699;423;615;408;193;150;43;4771;716
Ordinary free trade;Number of sales in the price calculation;2005;54726;0;0;2479;1417;1061;2373;10536;0;0;18696;18696;0;98666;981;222;673;329;1484;212;638;408;555;360;200;161;39;4546;627
Ordinary free trade;Number of sales in the price calculation;2006;48030;0;0;2456;1430;1271;1778;8023;0;0;15367;15367;0;87793;919;187;661;345;1016;148;579;328;311;232;180;145;35;6560;766
Ordinary free trade;Number of sales in the price calculation;2007;46650;0;0;2199;1355;1077;1888;6732;0;0;12851;12851;0;77559;823;194;600;223;1155;137;552;303;442;285;169;125;44;2619;348
Ordinary free trade;Number of sales in the price calculation;2008;35271;0;0;1456;964;738;1512;4635;0;0;10682;10682;0;59476;550;113;375;118;1010;83;391;284;362;263;129;101;28;2779;283
Ordinary free trade;Number of sales in the price calculation;2009;29553;0;0;819;604;372;938;4628;0;0;9189;9189;0;49131;489;59;210;73;601;57;269;166;221;157;68;57;11;1958;239
Ordinary free trade;Number of sales in the price calculation;2010;35161;0;0;1050;774;552;1252;5594;0;0;10137;10137;0;60427;760;64;250;115;792;58;380;217;295;210;92;70;22;4267;451
Ordinary free trade;Number of sales in the price calculation;2011;28833;607;406;1005;715;513;1376;4405;0;0;8534;8534;0;48263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Number of sales in the price calculation;2012;28896;626;337;840;642;428;1269;5076;0;0;9680;9680;0;49711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Number of sales in the price calculation;2013;29165;670;355;907;611;456;1491;5105;0;0;10175;10175;0;50930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Number of sales in the price calculation;2014;31921;782;366;887;640;457;1483;5508;0;0;12601;12601;0;56904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Number of sales in the price calculation;2015;38289;908;465;1093;740;584;1566;6480;0;0;15792;15792;0;68608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Number of sales in the price calculation;2016;38981;849;428;1136;730;575;1453;7065;0;0;15434;15434;0;69227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Number of sales in the price calculation;2017;43958;931;447;1228;768;655;1675;8916;0;0;16066;16066;0;77637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Average price per property (dkk 1000);2003;1199;0;0;3284;7297;6088;2806;774;0;0;1052;1052;0;1322;1214;1420;2262;12050;3390;1102;1449;1754;2617;4662;9036;7391;17324;214;277
Ordinary free trade;Average price per property (dkk 1000);2004;1332;0;0;4001;7859;5730;3060;927;0;0;1203;1203;0;1458;1339;1374;3004;14880;3666;1238;1522;1887;2745;5048;9756;8701;13436;258;278
Ordinary free trade;Average price per property (dkk 1000);2005;1511;0;0;5179;9407;6968;3712;1140;0;0;1453;1453;0;1778;1452;1692;3706;15950;4394;1503;1908;2267;3263;5902;12066;10310;19315;290;456
Ordinary free trade;Average price per property (dkk 1000);2006;1748;0;0;5524;9391;10148;4527;1344;0;0;1764;1764;0;2137;1796;1742;4311;26849;5492;1561;2398;2803;3582;7106;15270;13090;24301;485;663
Ordinary free trade;Average price per property (dkk 1000);2007;1819;0;0;5317;10172;10914;5452;1428;0;0;1675;1675;0;2238;1811;1826;4098;19994;6585;1753;2551;3250;4769;9059;17574;15451;23603;410;782
Ordinary free trade;Average price per property (dkk 1000);2008;1826;0;0;5026;11572;8667;6353;1407;0;0;1710;1710;0;2190;1806;1715;3551;20516;7541;1824;2586;3498;5400;10729;20722;18287;29506;517;670
Ordinary free trade;Average price per property (dkk 1000);2009;1763;0;0;4512;8087;7946;4963;1260;0;0;1542;1542;0;1891;2044;1979;3493;19949;6211;1559;2189;2733;4579;8227;17944;17118;22224;584;562
Ordinary free trade;Average price per property (dkk 1000);2010;1847;0;0;4721;10500;6467;4220;1260;0;0;1701;1701;0;1958;2239;1876;3258;14603;4968;1398;2113;2497;3710;6847;14411;12296;21140;602;527
Ordinary free trade;Average price per property (dkk 1000);2011;1770;2281;7377;4590;8055;6499;4225;1203;0;0;1679;1679;0;1981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Average price per property (dkk 1000);2012;1800;2226;9148;4969;8816;5215;3897;1161;0;0;1701;1701;0;1951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Average price per property (dkk 1000);2013;1884;2534;10553;6206;9473;4784;3792;1141;0;0;1845;1845;0;2071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Average price per property (dkk 1000);2014;1955;2665;10040;5597;11378;5294;3847;1134;0;0;1945;1945;0;2121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Average price per property (dkk 1000);2015;2082;2724;10220;5423;10358;6078;4051;1160;0;0;2063;2063;0;2220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Average price per property (dkk 1000);2016;2122;2808;9125;4855;10049;6802;3937;1171;0;0;2156;2156;0;2235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Average price per property (dkk 1000);2017;2209;2897;9964;5213;10282;6772;3592;1230;0;0;2369;2369;0;2317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ordinary free trade;Total value of trade (DKK millions);2003;56723.491;0;0;6548.296;8406.144;4304.216;6754.042;8199.756;0;0;16812.012;16812.012;0;113149.98;1025.83;217.26;922.896;2337.7;5064.66;244.644;960.687;671.782;1499.541;1850.814;1527.084;1042.131;485.072;695.714;164.815
Ordinary free trade;Total value of trade (DKK millions);2004;69997.932;0;0;8254.063;9077.145;4859.04;7723.44;10555.749;0;0;21558.963;21558.963;0;139491.234;1107.353;252.816;1559.076;3080.16;5850.936;230.268;1063.878;798.201;1688.175;2059.584;1882.908;1305.15;577.748;1230.918;199.048
